mid,tie,w_poss,l_poss
Issy-Soyaux-February-26-2022-Division-1-Feminine,False,39,61
Montpellier-Dijon-February-26-2022-Division-1-Feminine,False,63,37
Fleury-Paris-Saint-Germain-February-27-2022-Division-1-Feminine,False,72,28
Stade-de-Reims-Lyon-February-27-2022-Division-1-Feminine,False,69,31
Paris-FC-Fleury-March-11-2022-Division-1-Feminine,False,56,44
Paris-Saint-Germain-Montpellier-March-11-2022-Division-1-Feminine,True,61,39
Saint-Etienne-Lyon-March-12-2022-Division-1-Feminine,True,35,65
Soyaux-Bordeaux-March-12-2022-Division-1-Feminine,False,56,44
Guingamp-Stade-de-Reims-March-12-2022-Division-1-Feminine,False,52,48
Dijon-Issy-March-12-2022-Division-1-Feminine,False,47,53
Paris-Saint-Germain-Soyaux-March-18-2022-Division-1-Feminine,False,71,29
Dijon-Lyon-March-18-2022-Division-1-Feminine,False,67,33
Stade-de-Reims-Paris-FC-March-19-2022-Division-1-Feminine,False,60,40
Montpellier-Guingamp-March-19-2022-Division-1-Feminine,False,51,49
Issy-Saint-Etienne-March-19-2022-Division-1-Feminine,False,38,62
Fleury-Bordeaux-March-20-2022-Division-1-Feminine,False,46,54
Montpellier-Stade-de-Reims-April-2-2022-Division-1-Feminine,False,42,58
Soyaux-Fleury-April-2-2022-Division-1-Feminine,False,56,44
Bordeaux-Issy-April-2-2022-Division-1-Feminine,False,56,44
Paris-FC-Paris-Saint-Germain-April-3-2022-Division-1-Feminine,True,45,55
Guingamp-Lyon-April-3-2022-Division-1-Feminine,False,63,37
Paris-FC-Montpellier-April-15-2022-Division-1-Feminine,False,53,47
Saint-Etienne-Guingamp-April-16-2022-Division-1-Feminine,False,53,47
Soyaux-Stade-de-Reims-April-16-2022-Division-1-Feminine,False,51,49
Dijon-Bordeaux-April-16-2022-Division-1-Feminine,False,57,43
Paris-Saint-Germain-Issy-April-16-2022-Division-1-Feminine,False,72,28
Fleury-Lyon-April-17-2022-Division-1-Feminine,False,61,39
Saint-Etienne-Dijon-April-23-2022-Division-1-Feminine,True,52,48
Guingamp-Dijon-May-7-2022-Division-1-Feminine,False,52,48
Issy-Fleury-May-7-2022-Division-1-Feminine,False,62,38
Montpellier-Soyaux-May-7-2022-Division-1-Feminine,False,55,45
Stade-de-Reims-Saint-Etienne-May-7-2022-Division-1-Feminine,False,49,51
Bordeaux-Paris-Saint-Germain-May-7-2022-Division-1-Feminine,False,53,47
Lyon-Paris-FC-May-8-2022-Division-1-Feminine,False,51,49
Bordeaux-Paris-FC-May-27-2022-Division-1-Feminine,False,54,46
Dijon-Stade-de-Reims-May-28-2022-Division-1-Feminine,True,44,56
Fleury-Saint-Etienne-May-28-2022-Division-1-Feminine,False,55,45
Soyaux-Guingamp-May-28-2022-Division-1-Feminine,False,44,56
Issy-Montpellier-May-28-2022-Division-1-Feminine,False,63,37
Paris-Saint-Germain-Lyon-May-29-2022-Division-1-Feminine,False,41,59
Stade-de-Reims-Paris-Saint-Germain-June-1-2022-Division-1-Feminine,False,37,63
Montpellier-Bordeaux-June-1-2022-Division-1-Feminine,False,55,45
Guingamp-Fleury-June-1-2022-Division-1-Feminine,False,48,52
Lyon-Issy-June-1-2022-Division-1-Feminine,False,71,29
Paris-FC-Dijon-June-1-2022-Division-1-Feminine,False,66,34
Saint-Etienne-Soyaux-June-1-2022-Division-1-Feminine,False,34,66
Paris-Saint-Germain-Soyaux-September-9-2022-Division-1-Feminine,False,71,29
Bordeaux-Le-Havre-September-10-2022-Division-1-Feminine,False,53,47
Guingamp-Fleury-September-10-2022-Division-1-Feminine,False,50,50
Paris-FC-Rodez-September-10-2022-Division-1-Feminine,False,65,35
Montpellier-Dijon-September-10-2022-Division-1-Feminine,False,59,41
Stade-de-Reims-Lyon-September-11-2022-Division-1-Feminine,False,70,30
Fleury-Paris-FC-September-16-2022-Division-1-Feminine,True,39,61
Dijon-Bordeaux-September-17-2022-Division-1-Feminine,True,52,48
Stade-de-Reims-Montpellier-September-17-2022-Division-1-Feminine,False,62,38
Rodez-Paris-Saint-Germain-September-17-2022-Division-1-Feminine,False,70,30
Le-Havre-Guingamp-September-18-2022-Division-1-Feminine,False,42,58
Lyon-Soyaux-September-18-2022-Division-1-Feminine,False,67,33
Paris-FC-Le-Havre-September-23-2022-Division-1-Feminine,False,55,45
Montpellier-Lyon-September-23-2022-Division-1-Feminine,False,57,43
Soyaux-Rodez-September-24-2022-Division-1-Feminine,False,48,52
Guingamp-Dijon-September-24-2022-Division-1-Feminine,False,47,53
Bordeaux-Stade-de-Reims-September-24-2022-Division-1-Feminine,False,44,56
Paris-Saint-Germain-Fleury-September-25-2022-Division-1-Feminine,False,72,28
Montpellier-Bordeaux-September-30-2022-Division-1-Feminine,True,57,43
Fleury-Soyaux-October-1-2022-Division-1-Feminine,True,57,43
Stade-de-Reims-Guingamp-October-1-2022-Division-1-Feminine,False,46,54
Dijon-Paris-FC-October-1-2022-Division-1-Feminine,False,52,48
Lyon-Rodez-October-1-2022-Division-1-Feminine,False,66,34
Le-Havre-Paris-Saint-Germain-October-2-2022-Division-1-Feminine,True,32,68
Paris-FC-Stade-de-Reims-October-14-2022-Division-1-Feminine,True,62,38
Guingamp-Montpellier-October-15-2022-Division-1-Feminine,False,57,43
Paris-Saint-Germain-Dijon-October-15-2022-Division-1-Feminine,False,68,32
Soyaux-Le-Havre-October-15-2022-Division-1-Feminine,False,44,56
Bordeaux-Lyon-October-16-2022-Division-1-Feminine,False,66,34
Rodez-Fleury-October-16-2022-Division-1-Feminine,False,43,57
Montpellier-Paris-FC-October-28-2022-Division-1-Feminine,False,48,52
Le-Havre-Rodez-October-29-2022-Division-1-Feminine,False,56,44
Dijon-Soyaux-October-29-2022-Division-1-Feminine,False,64,36
Stade-de-Reims-Paris-Saint-Germain-October-29-2022-Division-1-Feminine,False,68,32
